# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_v6_model
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_mid_comp_long.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
# Adaptation terminated
# Step size = 0.0249201
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-6720.08,0.829705,0.0249201,3,0,41.7698,9.52246,65.3083,34.0087,14.9771,9.14753,29.3031,7.99384,35.0671,73.8972,33.0935,3.09933,0.223565,0.282538
-6715.14,0.832574,0.0249201,2,0,36.6162,9.50647,65.4349,34.1718,13.2006,10.3423,30.13,7.53653,33.0013,71.9345,31.6863,3.12495,0.210194,0.262869
-6718.73,0.919131,0.0249201,2,0,39.4953,8.96842,64.0602,32.7324,13.141,11.5475,29.3756,6.98139,34.9689,72.396,32.028,2.89553,0.222167,0.278736
-6720.24,0.9137,0.0249201,3,0,39.6749,7.9591,70.1433,33.7034,17.4733,10.1368,33.5641,7.59982,37.8929,79.9037,32.3298,3.27479,0.20208,0.251082
-6722.35,0.966151,0.0249201,2,0,37.0752,8.06038,68.5583,34.0073,17.7131,10.0486,33.2962,7.69428,37.5218,77.998,32.0791,3.50262,0.198559,0.251836
-6716.75,0.933329,0.0249201,2,0,40.3314,9.05705,70.2797,33.5619,15.887,11.9588,32.901,7.80666,38.8538,82.0822,34.6378,3.78316,0.211853,0.270404
-6717.58,0.897668,0.0249201,2,0,38.6138,9.6701,68.9289,37.1759,15.124,10.4313,31.4808,8.70328,34.6615,74.373,34.357,3.56838,0.20404,0.256769
-6715.68,0.958417,0.0249201,2,0,39.8591,9.24957,70.7198,35.3373,14.2368,10.644,34.4233,8.13299,41.4924,83.188,33.9367,3.35613,0.210694,0.25569
-6716.12,0.876926,0.0249201,1,0,39.0998,9.59504,73.2066,37.8659,14.811,10.2913,33.5344,8.93754,40.2625,79.5786,36.5597,3.23852,0.211913,0.25736
-6719.37,0.943491,0.0249201,2,0,40.2887,9.52958,68.4154,36.6362,15.5914,10.4993,32.2029,9.09243,39.4622,81.6593,38.0186,3.50846,0.217219,0.254778
-6719.27,0.971059,0.0249201,2,0,41.0204,9.84014,69.4279,38.4197,15.9579,10.2658,33.0027,8.86991,37.6583,80.8703,37.8353,3.46694,0.215771,0.250952
-6721.81,0.95314,0.0249201,2,0,41.5493,11.4502,72.7421,37.1393,18.0212,10.3686,32.144,9.18001,38.8593,79.6924,37.02,3.45362,0.2062,0.27626
-6722.26,0.953112,0.0249201,2,0,41.0448,10.6831,74.4953,37.7785,18.3356,10.3372,35.2202,8.81846,40.4853,79.7689,35.6141,3.38071,0.204514,0.28173
-6721.5,0.989616,0.0249201,2,0,41.5869,10.6063,73.6613,35.8071,17.9772,10.3753,35.9898,8.76508,40.4143,82.4075,35.4726,3.47823,0.201085,0.277832
-6715.51,0.979977,0.0249201,2,0,42.7627,9.6622,75.6859,38.5352,16.0378,10.7615,34.6522,8.76843,39.4188,84.7036,38.4752,3.80156,0.205273,0.261894
-6720.5,0.855849,0.0249201,2,0,47.102,10.0801,75.3469,39.4522,16.6946,10.6643,35.1887,9.21736,40.268,86.1557,39.0857,3.75753,0.202939,0.281004
-6722.22,0.910613,0.0249201,2,0,48.8798,9.62143,79.083,41.8073,17.0471,11.0665,37.1693,9.11536,41.5231,85.5597,38.4501,3.46146,0.211215,0.276091
-6722.04,0.817659,0.0249201,2,0,45.8957,10.3221,78.9486,42.2619,16.9268,10.8889,35.8216,9.03167,40.4237,87.6056,36.695,3.0501,0.214032,0.290303
-6719.7,0.794909,0.0249201,2,0,43.9743,10.0982,75.0896,42.0201,16.5686,11.5812,35.8579,8.79869,41.4459,86.1414,37.4978,3.02312,0.211631,0.287224
-6716.93,0.805437,0.0249201,3,0,37.9009,8.37354,71.4966,36.4862,13.3151,10.5804,33.5332,8.99517,39.7365,84.858,35.1294,4.12993,0.206671,0.260856
-6718.11,0.942988,0.0249201,2,0,39.9905,9.18003,74.9128,37.6728,14.096,9.66141,34.3668,8.33905,38.736,81.5932,36.2463,3.08526,0.21091,0.244639
-6718,0.986061,0.0249201,3,0,40.1956,9.51856,66.0162,36.3635,13.0049,11.0393,32.3307,7.12084,37.5392,79.3733,34.025,3.57244,0.196227,0.253031
-6716.64,0.848562,0.0249201,2,0,40.809,9.97338,70.5609,37.8421,12.3854,10.378,30.8891,8.22668,36.3013,75.3668,34.9563,3.72095,0.213367,0.26371
-6715.76,0.999914,0.0249201,2,0,39.5324,8.74448,66.1082,35.2891,12.7391,10.9678,33.3056,8.87056,37.9602,79.6699,33.9227,3.72072,0.214604,0.278512
